"run" "growth_rate" "warfare_pressure" "carrying_capacity" "yearly_warfare_mortality" "sizeX" "allow_matrilocal" "matrilocal_pressure" "change_residence_pause" "sizeY" "newborn_male_bias" "preferred_marriage_weight"
397 0.4 0 1000 0.02 5 1 0 0 10 116 0.5
398 0.45 0 1000 0.02 5 1 0 0 10 116 0.5
399 0.5 0 1000 0.02 5 1 0 0 10 116 0.5
400 0.55 0 1000 0.02 5 1 0 0 10 116 0.5
401 0.6 0 1000 0.02 5 1 0 0 10 116 0.5
402 0.65 0 1000 0.02 5 1 0 0 10 116 0.5
403 0.7 0 1000 0.02 5 1 0 0 10 116 0.5
404 0.75 0 1000 0.02 5 1 0 0 10 116 0.5
405 0.8 0 1000 0.02 5 1 0 0 10 116 0.5
406 0.4 100 1000 0.02 5 1 0 0 10 116 0.5
407 0.45 100 1000 0.02 5 1 0 0 10 116 0.5
408 0.5 100 1000 0.02 5 1 0 0 10 116 0.5
409 0.55 100 1000 0.02 5 1 0 0 10 116 0.5
410 0.6 100 1000 0.02 5 1 0 0 10 116 0.5
411 0.65 100 1000 0.02 5 1 0 0 10 116 0.5
412 0.7 100 1000 0.02 5 1 0 0 10 116 0.5
413 0.75 100 1000 0.02 5 1 0 0 10 116 0.5
414 0.8 100 1000 0.02 5 1 0 0 10 116 0.5
415 0.4 200 1000 0.02 5 1 0 0 10 116 0.5
416 0.45 200 1000 0.02 5 1 0 0 10 116 0.5
417 0.5 200 1000 0.02 5 1 0 0 10 116 0.5
418 0.55 200 1000 0.02 5 1 0 0 10 116 0.5
419 0.6 200 1000 0.02 5 1 0 0 10 116 0.5
420 0.65 200 1000 0.02 5 1 0 0 10 116 0.5
421 0.7 200 1000 0.02 5 1 0 0 10 116 0.5
422 0.75 200 1000 0.02 5 1 0 0 10 116 0.5
423 0.8 200 1000 0.02 5 1 0 0 10 116 0.5
424 0.4 300 1000 0.02 5 1 0 0 10 116 0.5
425 0.45 300 1000 0.02 5 1 0 0 10 116 0.5
426 0.5 300 1000 0.02 5 1 0 0 10 116 0.5
427 0.55 300 1000 0.02 5 1 0 0 10 116 0.5
428 0.6 300 1000 0.02 5 1 0 0 10 116 0.5
429 0.65 300 1000 0.02 5 1 0 0 10 116 0.5
430 0.7 300 1000 0.02 5 1 0 0 10 116 0.5
431 0.75 300 1000 0.02 5 1 0 0 10 116 0.5
432 0.8 300 1000 0.02 5 1 0 0 10 116 0.5
433 0.4 0 100 0.025 5 1 0 0 10 116 0.5
434 0.45 0 100 0.025 5 1 0 0 10 116 0.5
435 0.5 0 100 0.025 5 1 0 0 10 116 0.5
436 0.55 0 100 0.025 5 1 0 0 10 116 0.5
437 0.6 0 100 0.025 5 1 0 0 10 116 0.5
438 0.65 0 100 0.025 5 1 0 0 10 116 0.5
439 0.7 0 100 0.025 5 1 0 0 10 116 0.5
440 0.75 0 100 0.025 5 1 0 0 10 116 0.5
441 0.8 0 100 0.025 5 1 0 0 10 116 0.5
442 0.4 100 100 0.025 5 1 0 0 10 116 0.5
443 0.45 100 100 0.025 5 1 0 0 10 116 0.5
444 0.5 100 100 0.025 5 1 0 0 10 116 0.5
